date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:56	3596/3596	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:08%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/coming-soon.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/coming-soon.html	(from )
18:06:56	2770/2770	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:06%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/404.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/404.html	(from )
18:06:56	7206/7206	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:14%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/register.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/register.html	(from )
18:06:56	6326/6326	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:14%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/login.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/login.html	(from )
18:06:57	10124/10124	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:08%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/contact.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/contact.html	(from )
18:06:57	16975/16975	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:06%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/blog-details.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/blog-details.html	(from )
18:06:58	12915/12915	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:08%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/blog.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/blog.html	(from )
18:06:58	10719/10719	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:14%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/upload.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/upload.html	(from )
18:06:58	11497/11497	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:14%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/item-details.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/item-details.html	(from )
18:06:58	15203/15203	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2019:56:14%20GMT	https://www.themelooks.biz/demo/anefty/html/preview/ranking.html	G:/Learning/SWD391/artwork-sharing/www.themelooks.biz/demo/anefty/html/preview/ranking.html	(from )
